product_group,goc,pol_num,pre_ann,sum_assd,loan_sa
CSAMAN_IDR,CSAMAN_EAGLE_AG_L_IDR_SN_2023_IF,98,2936525770,38879800000,0
CSAMAN_IDR,CSAMAN_EAGLE_AG_L_IDR_SN_2024_IF,149,3290453932,41579348300,0
CSAMAN_IDR,CSAMAN_EAGLE_AG_L_IDR_SN_2025_Q1,40,963090980,13900682667,0
CSAMAN_IDR,CSAMAN_MAYBANK_NK_L_IDR_SN_2024_IF,69,2806082530,23127442193,0
CSAMAN_IDR,CSAMAN_MAYBANK_NK_L_IDR_SN_2025_Q1,25,828047921,6033950000,0
CSAMAN_IDR,CSAMAN_SPRING_AG_L_IDR_SN_2023_IF,186,5108120520,71528510000,0
CSAMAN_IDR,CSAMAN_SPRING_AG_L_IDR_SN_2024_IF,152,2681661880,46313967200,0
CSAMAN_IDR,CSAMAN_SPRING_AG_L_IDR_SN_2025_Q1,52,950213400,17984677250,0
CSCI49_IDR,CSCI49_ASN3_AG_L_IDR_SN_2024_IF,1,8820000,400000000,0
CSCI49_IDR,CSCI49_AZID_AG_L_IDR_SN_2023_IF,135,407372601,61248124297,0
CSCI49_IDR,CSCI49_AZID_AG_L_IDR_SN_2024_IF,38,96865860,11238297500,0
CSCI49_IDR,CSCI49_EAGLE_AG_L_IDR_SN_2023_IF,874,2272561933,4.26738E+11,0
CSCI49_IDR,CSCI49_EAGLE_AG_L_IDR_SN_2024_IF,9,27062472,4538600000,0
CSCI49_IDR,CSCI49_SPRING_AG_L_IDR_SN_2023_IF,1304,3762431622,6.42611E+11,0
CSCI49_IDR,CSCI49_SPRING_AG_L_IDR_SN_2024_IF,85,272222676,33331551508,0
CSGREN_IDR,CSGREN_BTPN_NK_L_IDR_SI_2024_IF,111,5185508607,49726830000,0
CSGREN_IDR,CSGREN_BTPN_NK_L_IDR_SI_2025_Q1,52,2230686882,21319670000,0
CSHNDL_IDR,CSHNDL_ASN3_AG_L_IDR_SN_2024_IF,1,13871196,400000000,0
CSHNDL_IDR,CSHNDL_AZID_AG_L_IDR_SN_2023_IF,135,650970164,61248124297,0
CSHNDL_IDR,CSHNDL_AZID_AG_L_IDR_SN_2024_IF,38,145402876,11238297500,0
CSHNDL_IDR,CSHNDL_EAGLE_AG_L_IDR_SN_2023_IF,875,3821238653,4.27515E+11,0
CSHNDL_IDR,CSHNDL_EAGLE_AG_L_IDR_SN_2024_IF,9,46786908,4538600000,0
CSHNDL_IDR,CSHNDL_SPRING_AG_L_IDR_SN_2023_IF,1307,6118661614,6.4509E+11,0
CSHNDL_IDR,CSHNDL_SPRING_AG_L_IDR_SN_2024_IF,85,395029868,33331551508,0
CSLGM__IDR,CSLGM__AZID_AG_L_IDR_SN_2024_IF,133,6662858829,1.60753E+11,0
CSLGM__IDR,CSLGM__AZID_AG_L_IDR_SN_2025_Q1,60,1385589000,45272000002,0
CSLGM__IDR,CSLGM__EAGLE_AG_L_IDR_SN_2024_IF,1758,78150931921,3.04811E+12,0
CSLGM__IDR,CSLGM__EAGLE_AG_L_IDR_SN_2025_Q1,485,14452877228.911125,5.53586E+11,0
CSLGM__IDR,CSLGM__SPRING_AG_L_IDR_SN_2024_IF,323,19762483167,6.84605E+11,0
CSLGM__IDR,CSLGM__SPRING_AG_L_IDR_SN_2025_Q1,113,3571126900,1.3604E+11,0
CSREN__IDR,CSREN__MAYBANK_NK_L_IDR_SI_2024_IF,1800,69031102710,6.5567E+11,0
CSREN__IDR,CSREN__MAYBANK_NK_L_IDR_SI_2025_Q1,446,16449868745,1.58121E+11,0
CTCICP_IDR,CTCICP_HSBC_KT_H_IDR_NO_2021_IF,60,111828000,7400000000,0
CTCICP_IDR,CTCICP_HSBC_KT_H_IDR_NO_2022_IF,26,67452000,3800000000,0
CTEZPL_IDR,CTEZPL_NISP_NK_L_IDR_NO_2024_IF,26,62100000,2317500000,0
CTEZPL_IDR,CTEZPL_NISP_NK_L_IDR_NO_2025_Q1,5,31100000,1170000000,0
CTEZPL_IDR,CTEZPL_TELEMAYBANK_NK_L_IDR_NO_2023_IF,141,265200000,8572500000,0
CTEZPL_IDR,CTEZPL_TELEMAYBANK_NK_L_IDR_NO_2024_IF,1383,2317800000,77242500000,0
