product_group;goc;pol_num;pre_ann;sum_assd;loan_sa;;
CESS___IDR;CESS___AZID_AG_L_IDR_PI_2014_IF;553;964336373;7283100000;2495648;;
CESS___USD;CESS___AZID_AG_L_USD_PI_2014_IF;5;13389.08;63500;0;;
CESSP__IDR;CESSP__AZID_AG_L_IDR_PI_2014_IF;268;453617054;3226000000;-20849;;
CESSP__USD;CESSP__AZID_AG_L_USD_PI_2014_IF;2;3677.16;23000;0.02;;
CESU___IDR;CESU___AZID_AG_L_IDR_PI_2014_IF;197;798757666;4093700000;661869;;
CESU___USD;CESU___AZID_AG_L_USD_PI_2014_IF;6;14295.99;46500;0;;
CESUP__IDR;CESUP__AZID_AG_L_IDR_PI_2014_IF;49;95573888;625000000;-12;;
CESUP__USD;CESUP__AZID_AG_L_USD_PI_2014_IF;1;1560;10000;-0.03;;
CEZPST_IDR;CEZPST_ASN3_AG_L_IDR_NO_2024_IF;4;22526592;849240000;0;;
CEZPST_IDR;CEZPST_AZID_AG_L_IDR_NO_2020_IF;31;1062130200;13685000000;0;;
CEZPST_IDR;CEZPST_AZID_AG_L_IDR_NO_2021_IF;26;417839339;7100000000;0;;
CEZPST_IDR;CEZPST_AZID_AG_L_IDR_NO_2022_IF;102;2969381890;49242000000;3411853;;
CEZPST_IDR;CEZPST_AZID_AG_L_IDR_NO_2023_IF;138;3942053114;52369500000;140010;;
CEZPST_IDR;CEZPST_AZID_AG_L_IDR_NO_2024_IF;139;3304279268;43671950000;0;;
CEZPST_IDR;CEZPST_AZID_AG_L_IDR_NO_2025_Q1;22;490337520;8755000000;0;;
CEZPST_IDR;CEZPST_AZID_AG_L_IDR_NO_2025_Q2;23;709287600;7015000000;0;;
CEZPST_IDR;CEZPST_EAGLE_AG_L_IDR_NO_2020_IF;111;2596042640;46275168000;28688675;;
CEZPST_IDR;CEZPST_EAGLE_AG_L_IDR_NO_2021_IF;154;3746026444;67675300000;5118918;;
CEZPST_IDR;CEZPST_EAGLE_AG_L_IDR_NO_2022_IF;168;4809797340;80767900000;5009378;;
CEZPST_IDR;CEZPST_EAGLE_AG_L_IDR_NO_2023_IF;170;5064994140;92417999999;10328609;;
CEZPST_IDR;CEZPST_EAGLE_AG_L_IDR_NO_2024_IF;156;3423195925;56750788300;0;;
CEZPST_IDR;CEZPST_EAGLE_AG_L_IDR_NO_2025_Q1;26;766598960;13500000000;0;;
CEZPST_IDR;CEZPST_EAGLE_AG_L_IDR_NO_2025_Q2;17;478009380;7640799131;0;;
CEZPST_IDR;CEZPST_SPRING_AG_L_IDR_NO_2020_IF;188;4451810340;78838000000;34800349;;
CEZPST_IDR;CEZPST_SPRING_AG_L_IDR_NO_2021_IF;156;4035026916;73484100000;6087831;;
CEZPST_IDR;CEZPST_SPRING_AG_L_IDR_NO_2022_IF;312;10545415605;1,72448E+11;0;;
CEZPST_IDR;CEZPST_SPRING_AG_L_IDR_NO_2023_IF;441;13355730584;2,25509E+11;0;;
CEZPST_IDR;CEZPST_SPRING_AG_L_IDR_NO_2024_IF;561;9810850170;2,01458E+11;0;;
CEZPST_IDR;CEZPST_SPRING_AG_L_IDR_NO_2025_Q1;130;3100534951;55229028915;0;;
CEZPST_IDR;CEZPST_SPRING_AG_L_IDR_NO_2025_Q2;95;1299348348;21753160640;0;;
CHCPT__IDR;CHCPT__TELEMAYBANK_NK_L_IDR_NO_2023_IF;1;4596000;300000;0;;
CHCPT__IDR;CHCPT__TELEMAYBANK_NK_L_IDR_NO_2024_IF;1;7164000;1000000;0;;
CJLIFE_IDR;CJLIFE_HSBC_KT_L_IDR_NO_2019_IF;1;6000000;587500000;0;;
CJLIFE_IDR;CJLIFE_HSBC_KT_L_IDR_NO_2020_IF;2;12000000;845500000;0;;
CJLIFE_IDR;CJLIFE_HSBC_KT_L_IDR_NO_2022_IF;1;12000000;635000000;0;;
CPBECI_IDR;CPBECI_AZID_AG_H_IDR_NO_2025_Q1;3;883000;42799200;0;;
CPBECI_IDR;CPBECI_AZID_AG_H_IDR_NO_2025_Q2;6;1032000;5790090;0;;
CPBECI_IDR;CPBECI_EAGLE_AG_H_IDR_NO_2025_Q1;17;4056000;255797010;0;;
