product_group,goc,pol_num,pre_ann,sum_assur,total_fund
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2017_IF,334,21284999916,424364000000,72908188389.498196
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2018_IF,336,20637199960,355641500000,64553823995.679625
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2019_IF,335,19425999988,332803500080,83336967110.197182
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2020_IF,172,8350175988,153024200000,36867169910.742276
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2021_IF,239,11858224012,168110000040,36311217624.116319
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2022_IF,742,45792139948,567899899880,121547009541.970921
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2023_IF,50,3584500008,43350000000,9621211676.602624
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2016_IF,83,726100,9315000,3702868.93568423459972
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2017_IF,92,997992,15182500,4133321.37352435602128
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2018_IF,188,1611052,21488300,7701501.68720454393008
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2019_IF,227,1489512,21203290,9735734.84021259637536
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2020_IF,468,2130842,24732370,13140610.26911129584644
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2021_IF,767,4014820,46344480,17438751.2999218395504
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2022_IF,309,1693308,18659160,5900448.88072643
ULCIP__USD,ULCIP__HSBC_KT_USD_UL_2023_IF,65,375804,3758000,1376615.33337996
ULCIPA_IDR,ULCIPA_HSBC_KT_IDR_UL_2018_IF,20,258000000,7390000000,648491396.097886
ULCIPA_IDR,ULCIPA_HSBC_KT_IDR_UL_2019_IF,61,784400008,24106000000,2476498002.193066
ULCIPA_IDR,ULCIPA_HSBC_KT_IDR_UL_2020_IF,60,735000000,21649000000,2165279621.812553
ULCIPA_IDR,ULCIPA_HSBC_KT_IDR_UL_2021_IF,35,458000004,12922000000,1034544536.058426
ULCIPA_IDR,ULCIPA_HSBC_KT_IDR_UL_2022_IF,24,307500000,8696000000,678116665.881286
ULCP___IDR,ULCP___HSBC_KT_IDR_UL_2014_IF,58,448200000,12980000000,1765300534.528409
ULCPK__IDR,ULCPK__HSBC_KT_IDR_UL_2014_IF,41,325999996,12755000000,796030943.586394
ULCPK__IDR,ULCPK__HSBC_KT_IDR_UL_2015_IF,15,120200000,3700000000,248553628.268158
ULCPK__IDR,ULCPK__HSBC_KT_IDR_UL_2016_IF,8,99000000,6900000000,139443718.494819
ULCPK__IDR,ULCPK__HSBC_KT_IDR_UL_2017_IF,1,7800000,100000000,9802454.183421
ULCPRA_IDR,ULCPRA_HSBC_KT_IDR_SH_2014_IF,2,150000000,1000000000,20472186.404442
ULDMSA_IDR,ULDMSA_DANAMON_NK_IDR_UL_2014_IF,743,2926355972,134000900000,21533274312.67294
ULDRK__IDR,ULDRK__DANAMON_NK_IDR_UL_2014_IF,9,49300000,1950000000,327196937.25291
